# Velocity(km/s)  CCF
  2.2286e+02   3.4232e-02
  2.2476e+02   2.0092e-02
  2.2667e+02   5.9661e-03
  2.2857e+02  -7.5186e-03
  2.3048e+02  -1.9836e-02
  2.3238e+02  -3.0511e-02
  2.3429e+02  -3.9089e-02
  2.3619e+02  -4.5127e-02
  2.3810e+02  -4.8243e-02
  2.4000e+02  -4.8178e-02
  2.4190e+02  -4.4880e-02
  2.4381e+02  -3.8545e-02
  2.4571e+02  -2.9626e-02
  2.4762e+02  -1.8787e-02
  2.4952e+02  -6.8458e-03
  2.5143e+02   5.2913e-03
  2.5333e+02   1.6678e-02
  2.5524e+02   2.6380e-02
  2.5714e+02   3.3557e-02
  2.5905e+02   3.7574e-02
  2.6095e+02   3.8148e-02
  2.6286e+02   3.5463e-02
  2.6476e+02   3.0213e-02
  2.6667e+02   2.3533e-02
  2.6857e+02   1.6816e-02
  2.7048e+02   1.1466e-02
  2.7238e+02   8.6349e-03
  2.7429e+02   9.0138e-03
  2.7619e+02   1.2722e-02
  2.7810e+02   1.9320e-02
  2.8000e+02   2.7928e-02
  2.8190e+02   3.7426e-02
  2.8381e+02   4.6674e-02
  2.8571e+02   5.4697e-02
  2.8762e+02   6.0812e-02
  2.8952e+02   6.4658e-02
  2.9143e+02   6.6153e-02
  2.9333e+02   6.5389e-02
  2.9524e+02   6.2519e-02
  2.9714e+02   5.7672e-02
  2.9905e+02   5.0939e-02
  3.0095e+02   4.2460e-02
  3.0286e+02   3.2576e-02
  3.0476e+02   2.1985e-02
  3.0667e+02   1.1780e-02
  3.0857e+02   3.3069e-03
  3.1048e+02  -2.1544e-03
  3.1238e+02  -3.8015e-03
  3.1429e+02  -1.6407e-03
  3.1619e+02   3.4028e-03
  3.1810e+02   9.6663e-03
  3.2000e+02   1.5175e-02
  3.2190e+02   1.8177e-02
  3.2381e+02   1.7618e-02
  3.2571e+02   1.3408e-02
  3.2762e+02   6.4239e-03
  3.2952e+02  -1.7596e-03
  3.3143e+02  -9.3012e-03
  3.3333e+02  -1.4574e-02
  3.3524e+02  -1.6558e-02
  3.3714e+02  -1.5043e-02
  3.3905e+02  -1.0616e-02
  3.4095e+02  -4.4565e-03
  3.4286e+02   1.9872e-03
  3.4476e+02   7.3524e-03
  3.4667e+02   1.0659e-02
  3.4857e+02   1.1494e-02
  3.5048e+02   1.0048e-02
  3.5238e+02   7.0115e-03
  3.5429e+02   3.3605e-03
  3.5619e+02   1.0000e-04
  3.5810e+02  -1.9715e-03
  3.6000e+02  -2.4158e-03
  3.6190e+02  -1.2074e-03
  3.6381e+02   1.3041e-03
  3.6571e+02   4.4858e-03
  3.6762e+02   7.5350e-03
  3.6952e+02   9.5986e-03
  3.7143e+02   9.9017e-03
  3.7333e+02   7.8884e-03
  3.7524e+02   3.3590e-03
  3.7714e+02  -3.4356e-03
  3.7905e+02  -1.1790e-02
  3.8095e+02  -2.0658e-02
  3.8286e+02  -2.8879e-02
  3.8476e+02  -3.5438e-02
  3.8667e+02  -3.9693e-02
  3.8857e+02  -4.1471e-02
  3.9048e+02  -4.1033e-02
  3.9238e+02  -3.8903e-02
  3.9429e+02  -3.5670e-02
  3.9619e+02  -3.1830e-02
  3.9810e+02  -2.7718e-02
  4.0000e+02  -2.3531e-02
